index,id,car_year,brand,brand_cod,model,model_cod,version,engine,engine_power,doors,km,fuel_type,fuel_type_cod,traction_control,traction_control_cod,passenger_capacity,transmission,transmission_cod,usd_price,is_car_shop,seller_country,seller_state,seller_city,Latitude,longitude
63,MLA1425967417,2012,Volkswagen,7,Gol,27,1.4 Power Ps+ac 83cv,1.4,83.0,5,105000,Nafta,4,Delantera,2,5.0,Manual,2,5418.326693227092,0,Argentina,Buenos Aires,Moreno,-34.6396556,-58.7898326
64,MLA1424788759,2007,Volkswagen,7,Gol,27,1.6 I Power 601,1.6,92.0,3,15200,Nafta,4,Delantera,2,5.0,Manual,2,6374.501992031873,0,Argentina,Buenos Aires,La Plata,-34.9206797,-57.9537638
65,MLA1777660652,2012,Volkswagen,7,Gol,27,1.4 Power 83cv,1.4,83.0,3,27000,Nafta,4,Delantera,2,5.0,Manual,2,6800.0,0,Argentina,Buenos Aires,La Matanza,-34.8195526,-58.1975499
66,MLA1733492512,2013,Volkswagen,7,Gol,27,1.4 Power 83cv 3 p,1.4,83.0,3,255000,Nafta,4,Delantera,2,5.0,Manual,2,3890.0,0,Argentina,Capital Federal,Capital Federal,-34.6037181,-58.38153
67,MLA1423902151,2012,Volkswagen,7,Gol,27,1.4 Power Ps+ac 83cv,1.4,83.0,5,110000,Nafta,4,Delantera,2,5.0,Manual,2,6800.0,0,Argentina,Buenos Aires,San Isidro,-34.4739792,-58.5264866
68,MLA1747611252,2012,Volkswagen,7,Gol,27,1.4 Power Ps+ac 83cv,1.4,83.0,5,124000,Nafta,4,Delantera,2,5.0,Manual,2,6000.0,0,Argentina,Buenos Aires,Pilar,-34.4570918,-58.9141609
69,MLA1427736507,2012,Volkswagen,7,Gol,27,1.4 Power Ps+ac 83cv,1.4,83.0,5,129000,Nafta,4,Delantera,2,5.0,Manual,2,5657.370517928287,0,Argentina,Córdoba,Córdoba,-31.4166867,-64.1834193
70,MLA1422631447,2009,Volkswagen,7,Gol,27,1.6 I Power 601,1.6,92.0,3,200000,Nafta,4,Delantera,2,5.0,Manual,2,5000.0,0,Argentina,Buenos Aires,Lomas de Zamora,-34.7572582,-58.4026638
71,MLA1736313174,2007,Volkswagen,7,Gol,27,1.6 I Power 601,1.6,92.0,3,125000,Nafta,4,Delantera,2,5.0,Manual,2,5400.0,0,Argentina,Buenos Aires,La Matanza,-34.8195526,-58.1975499
72,MLA1687987184,2010,Volkswagen,7,Gol,27,1.6 I Power 701,1.6,92.0,3,220000,Nafta,4,Delantera,2,5.0,Manual,2,3505.97609561753,0,Argentina,Buenos Aires,General Madariaga,-36.9952343,-57.1369265
73,MLA1757272582,2012,Volkswagen,7,Gol,27,1.4 Power Ps+ac 83cv,1.4,83.0,5,109000,Nafta,4,Delantera,2,5.0,Manual,2,5179.282868525896,0,Argentina,Buenos Aires,Quilmes,-34.7303025,-58.268868
